Packet 263: delay_time=244ms, response=PSTART 27-02-2023 20:10:59 PSTOP
Packet 264: delay_time=257ms, response=PSTART 27-02-2023 20:10:59 PSTOP
Packet 265: delay_time=236ms, response=PSTART 27-02-2023 20:10:59 PSTOP
Packet 266: delay_time=261ms, response=PSTART 27-02-2023 20:11:00 PSTOP
Packet 267: delay_time=246ms, response=PSTART 27-02-2023 20:11:00 PSTOP
Packet 268: delay_time=255ms, response=PSTART 27-02-2023 20:11:00 PSTOP
Packet 269: delay_time=249ms, response=PSTART 27-02-2023 20:11:00 PSTOP
Packet 270: delay_time=239ms, response=PSTART 27-02-2023 20:11:01 PSTOP
Packet 271: delay_time=242ms, response=PSTART 27-02-2023 20:11:01 PSTOP
Packet 272: delay_time=257ms, response=PSTART 27-02-2023 20:11:01 PSTOP
Packet 273: delay_time=247ms, response=PSTART 27-02-2023 20:11:01 PSTOP
Packet 274: delay_time=253ms, response=PSTART 27-02-2023 20:11:02 PSTOP
Packet 275: delay_time=243ms, response=PSTART 27-02-2023 20:11:02 PSTOP
Packet 276: delay_time=250ms, response=PSTART 27-02-2023 20:11:02 PSTOP
Packet 277: delay_time=251ms, response=PSTART 27-02-2023 20:11:02 PSTOP
Packet 278: delay_time=240ms, response=PSTART 27-02-2023 20:11:03 PSTOP
Packet 279: delay_time=245ms, response=PSTART 27-02-2023 20:11:03 PSTOP
Packet 280: delay_time=253ms, response=PSTART 27-02-2023 20:11:03 PSTOP
Packet 281: delay_time=245ms, response=PSTART 27-02-2023 20:11:03 PSTOP
Packet 282: delay_time=248ms, response=PSTART 27-02-2023 20:11:04 PSTOP
Packet 283: delay_time=237ms, response=PSTART 27-02-2023 20:11:04 PSTOP
Packet 284: delay_time=255ms, response=PSTART 27-02-2023 20:11:04 PSTOP
Packet 285: delay_time=242ms, response=PSTART 27-02-2023 20:11:04 PSTOP
Packet 286: delay_time=252ms, response=PSTART 27-02-2023 20:11:05 PSTOP
Packet 287: delay_time=247ms, response=PSTART 27-02-2023 20:11:05 PSTOP
Packet 288: delay_time=246ms, response=PSTART 27-02-2023 20:11:05 PSTOP
Packet 289: delay_time=249ms, response=PSTART 27-02-2023 20:11:05 PSTOP
Packet 290: delay_time=246ms, response=PSTART 27-02-2023 20:11:06 PSTOP
Packet 291: delay_time=241ms, response=PSTART 27-02-2023 20:11:06 PSTOP
Packet 292: delay_time=255ms, response=PSTART 27-02-2023 20:11:06 PSTOP
Packet 293: delay_time=245ms, response=PSTART 27-02-2023 20:11:06 PSTOP
Packet 294: delay_time=248ms, response=PSTART 27-02-2023 20:11:07 PSTOP
Packet 295: delay_time=245ms, response=PSTART 27-02-2023 20:11:07 PSTOP
Packet 296: delay_time=249ms, response=PSTART 27-02-2023 20:11:07 PSTOP
Packet 297: delay_time=255ms, response=PSTART 27-02-2023 20:11:07 PSTOP
Packet 298: delay_time=264ms, response=PSTART 27-02-2023 20:11:08 PSTOP
Packet 299: delay_time=248ms, response=PSTART 27-02-2023 20:11:08 PSTOP
Packet 300: delay_time=232ms, response=PSTART 27-02-2023 20:11:08 PSTOP
Packet 301: delay_time=261ms, response=PSTART 27-02-2023 20:11:08 PSTOP
Packet 302: delay_time=245ms, response=PSTART 27-02-2023 20:11:09 PSTOP
Packet 303: delay_time=258ms, response=PSTART 27-02-2023 20:11:09 PSTOP
Packet 304: delay_time=248ms, response=PSTART 27-02-2023 20:11:09 PSTOP
Packet 305: delay_time=242ms, response=PSTART 27-02-2023 20:11:09 PSTOP
Packet 306: delay_time=246ms, response=PSTART 27-02-2023 20:11:10 PSTOP
Packet 307: delay_time=249ms, response=PSTART 27-02-2023 20:11:10 PSTOP
Packet 308: delay_time=249ms, response=PSTART 27-02-2023 20:11:10 PSTOP
Packet 309: delay_time=237ms, response=PSTART 27-02-2023 20:11:10 PSTOP
Packet 310: delay_time=257ms, response=PSTART 27-02-2023 20:11:11 PSTOP
Packet 311: delay_time=245ms, response=PSTART 27-02-2023 20:11:11 PSTOP
Packet 312: delay_time=247ms, response=PSTART 27-02-2023 20:11:11 PSTOP
Packet 313: delay_time=243ms, response=PSTART 27-02-2023 20:11:11 PSTOP
Packet 314: delay_time=250ms, response=PSTART 27-02-2023 20:11:12 PSTOP
Packet 315: delay_time=248ms, response=PSTART 27-02-2023 20:11:12 PSTOP
Packet 316: delay_time=249ms, response=PSTART 27-02-2023 20:11:12 PSTOP
Packet 317: delay_time=250ms, response=PSTART 27-02-2023 20:11:12 PSTOP
Packet 318: delay_time=248ms, response=PSTART 27-02-2023 20:11:13 PSTOP
Packet 319: delay_time=236ms, response=PSTART 27-02-2023 20:11:13 PSTOP
Packet 320: delay_time=248ms, response=PSTART 27-02-2023 20:11:13 PSTOP
